,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
13846,d9f77aa817568089d59f28a0a4406ade,0.50,0.96,1.43,40.160000000000004,38.56,26.96,38.56
13847,77aa919f9ab32002bf6d19b4e2bcdf27,0.39,1.01,0.89,81.69,82.49000000000001,93.08999999999999,82.49000000000001
13848,f31ebb5d9a4eb503268dbb35f4ad18c5,0.17,0.94,1.12,30.35,28.65,25.65,28.65
13849,f75d727d94ab18325d5e2c8ddde9f165,0.16,1.24,1.05,15.16,18.759999999999998,17.86,18.759999999999998
13850,9d4dbe725c0dbc4dfc571eb4879a9ab1,1.00,0.96,0.88,56.66,54.160000000000004,61.260000000000005,54.160000000000004
13851,c2e607a7cf12b3aae5ac42e7a5a4ec71,0.32,0.94,0.79,85.72999999999999,80.96000000000001,101.9,80.96000000000001
13852,140dcf9896d299e160aaa15d964b6e46,0.23,0.98,1.09,35.96000000000001,35.190000000000005,32.260000000000005,35.190000000000005
13853,5fce292f40bd47234497c5ac373f7ba8,0.14,1.08,0.89,9.959999999999999,10.760000000000002,12.059999999999999,10.760000000000002
13854,6549f398974221022c22980c6a24c380,0.44,0.94,0.96,39.010000000000005,36.71,38.21,36.71
13855,88654de6af73975ba7ba866e56c7ede0,0.27,1.11,1.5899999999999999,19.54,21.740000000000002,13.64,21.740000000000002
13856,dfd5fea1013deaeb6ab6611279c41dd3,0.35,0.97,1.23,33.349999999999994,32.38,26.349999999999994,32.38
13857,9cb59f2ba5c09b38aa28230119e1de60,0.17,1.01,0.84,13.99,14.19,16.99,14.19
13858,d31a757acf5708dd22aecfbb6bd3be90,0.33,1.13,0.98,15.98,17.98,18.38,17.98
13859,e806b234418867a12bd8241d72d8691a,0.09,1.02,0.86,5.89,5.99,6.99,5.99
13860,f2e9211584ecfe6cf8cc171a5087a115,0.18,1.0,0.96,18.299999999999997,18.3,19.1,18.3
13861,1c63d30f44fa4494c627c4535823c2ae,0.20,0.99,0.99,15.25,15.149999999999999,15.350000000000001,15.149999999999999
13862,2ca50b5a90c84db9f9839c2e23328112,0.40,1.06,1.06,3.19,3.37,3.19,3.37
13863,ce10ed1bf827b5bfdfef67e94d40cb12,0.63,0.98,0.8,33.06,32.24,40.44,32.24
13864,d3649b56aa3f6e660c9d67a44e2fde81,0.20,1.05,0.89,7.98,8.38,9.38,8.38
13865,fcc9c932ae4cf43c444fdee1dcb70f80,0.37,0.98,0.79,95.8,93.9,118.9,93.9
13866,160b4b489fee2ab84b6278e242bf01b7,0.26,1.02,0.87,44.62,45.33,51.949999999999996,45.33
13867,fd5c3e06d582747025bf7c822816f253,0.32,0.98,1.04,38.23,37.53,36.21,37.53
13868,d6f1a316c6dbb5694fc0071f8b929469,0.17,1.07,0.9,33.57,35.97,39.87,35.97
13869,cfabc2c9174c2be6e1f51a646ac8ca3e,0.11,1.09,0.92,3.29,3.59,3.89,3.59
13870,803b5cb57fa0fbb6ee1ccee9658d7ece,0.33,0.96,1.1400000000000001,13.469999999999999,12.97,11.370000000000001,12.97
13871,9566eb4083b25db6744c5d60c1ee2054,0.17,0.94,0.75,4.79,4.48,5.9799999999999995,4.48
13873,0274304cb613162199e96efae180b293,0.34,0.99,1.04,121.46999999999998,120.46999999999998,116.28999999999999,120.46999999999998
13874,38bc03b7ce95ef4630bababa62ccdf91,0.33,1.02,0.9,18.35,18.65,20.650000000000002,18.65
13875,df21014166c62767529f5dde45edfff6,0.04,1.1,0.89,2.99,3.29,3.69,3.29
13878,c6a2a2a5ee196991efa0c1245a9f3bce,0.31,1.31,1.11,22.96,30.160000000000004,27.26,30.160000000000004
13879,d76474221a5c515a4ad95b5a497aa867,0.42,1.06,0.88,19.55,20.65,23.349999999999998,20.65
13880,5b739193ef55ecc9cb3d283ba3df37d5,0.33,1.02,1.02,26.85,27.35,26.85,27.35
13881,37a023d6b4ef435de03f87ff10b3949a,0.17,1.05,0.96,12.46,13.06,13.56,13.06
13882,acd1becde259e43df105975b8cc2393b,0.25,0.98,0.99,85.56,83.66,84.82000000000001,83.66
13883,ee719bd73d3db92eb6236d36815d436e,0.46,0.95,0.96,39.440000000000005,37.64,39.04,37.64
13884,eaeb4046645479423876e21bc78e344b,0.26,0.92,0.9299999999999999,32.730000000000004,30.230000000000004,32.53,30.230000000000004
13885,08301557cd0ec15eee6da4ae913e3d66,0.71,0.95,0.9299999999999999,33.35,31.750000000000004,34.050000000000004,31.750000000000004
13886,dc665858c24cac2c12bf19a7ecd5fa3e,0.11,1.17,1.02,42.53,49.72,48.72,49.72
13887,27533e5c12dfdc79e340dd17a8047453,0.31,0.96,0.79,17.97,17.26,21.96,17.26
13888,dae337205adeb3a1d2054722323eef7e,0.37,1.04,0.86,112.16999999999999,116.10999999999999,135.41,116.10999999999999
13889,d2e281e9f789585578db07f1bf7dc241,0.15,0.96,0.78,15.46,14.86,19.060000000000002,14.86
13890,bad7be994b8d29fa79108859932578e5,0.23,0.98,1.0,12.25,11.950000000000001,11.950000000000001,11.950000000000001
13891,ead43abd293234635403e1c6112ce991,0.25,0.94,0.78,5.28,4.98,6.38,4.98
13892,d06f7835a53a2fc4ba4d35ce48c179b3,0.43,1.0,1.1400000000000001,14.940000000000001,14.940000000000001,13.14,14.940000000000001
13893,6d3f10769ae35eb72bbae813476a4e57,0.18,0.95,1.05,50.2,47.7,45.50000000000001,47.7
13894,b26117cdd3f0a58b323eed8b8b7416cf,0.11,1.1400000000000001,0.92,6.29,7.18,7.78,7.18
13895,2d65f02f2963d39b874d8969bc48e418,0.52,1.03,1.01,56.93000000000001,58.53,58.07,58.53
13896,44b6457a0f73e8e18313696823a160f1,0.18,1.16,0.94,13.97,16.17,17.17,16.17
13897,1571d800c76d1fdcf0d1cbb9b339401d,0.22,1.09,0.89,42.72,46.46,52.06,46.46
13898,e63d97adde2bfbba822a034eba6f0d36,0.31,1.15,0.98,31.050000000000004,35.85,36.65,35.85
13899,503c076c029a21f96e5f4fca7d79b0d5,0.23,0.91,0.91,40.86,37.06,40.86,37.06
13900,ad67b78c6869e9171befbad0eee73309,0.16,1.02,0.88,26.26,26.89,30.529999999999998,26.89
13901,4c5717c93266f803d0b4694e401b473d,0.20,1.0,1.0,4.99,4.99,4.99,4.99
13902,ecba5a864a20928e5bc4b7e4905436d1,0.19,1.05,0.92,19.259999999999998,20.259999999999998,21.96,20.259999999999998
13903,6e552680e3b1a7ecefafee510764a616,0.59,1.05,1.27,99.14,103.94000000000001,81.89999999999999,103.94000000000001
13904,83495493a19f11c0b40c6e9064290def,0.50,1.19,1.02,56.21000000000001,66.81,65.71,66.81
13905,853f6ba7370311c02e1083df76adbcd7,0.20,1.24,1.04,6.78,8.38,8.08,8.38
13906,35e50cbbfed69967f3bd03b96a805666,0.25,0.98,0.83,9.98,9.78,11.78,9.78
13907,5724d0cb9a2be1b5142f85bced1cc6ca,0.08,1.05,1.05,17.52,18.32,17.52,18.32
13908,ead4aeec15dd46a41e3c0d4dd444f796,0.14,0.77,0.64,6.74,5.18,8.08,5.18
13909,a1f5d17132375b55f5ea87c58db0e81d,0.28,1.02,0.88,73.72,75.32000000000001,85.92000000000002,75.32000000000001
13910,05d801996c2c3ca503e076743ebe0589,0.39,1.06,0.91,56.7,59.83,65.63,59.83
13911,c48af6a761e5e878a050f5622888d198,0.25,0.98,0.98,23.07,22.57,23.07,22.57
13912,5d5abb54c34f99e003fe2b069ce5d080,0.25,1.07,0.86,12.43,13.350000000000001,15.55,13.350000000000001
13913,06c4e8f05e71a2f272a54e6e1d445436,0.27,1.05,0.9299999999999999,12.849999999999998,13.45,14.45,13.45
13914,932aa51fc776d155deca29389b1f2f31,0.50,0.95,0.85,18.020000000000003,17.13,20.05,17.13
13915,7bd2f2f39aa8a92064c6a29610c01227,0.12,0.97,0.87,13.97,13.57,15.57,13.57
13916,dbee73cae4aad821c11ecd9edb4f9611,0.23,1.05,1.19,35.38,37.08,31.2,37.08
13917,77185ca9d265423309791a7061ad5f1e,0.28,1.0,0.88,53.59,53.69,60.78999999999999,53.69
13918,51bbdc70880f6033354b17e70679b5a9,0.14,1.06,0.96,5.19,5.49,5.69,5.49
13919,c2043ae9d91d9f7a1fcc775f355a8be2,0.33,1.1,0.9299999999999999,21.32,23.39,25.189999999999998,23.39
13920,7a099f05325f5ad011bb4cb887674fec,0.31,0.96,0.83,104.13999999999999,100.03999999999999,119.94000000000001,100.03999999999999
13921,c97c7542e3b4b20160adf28a8740f084,0.24,0.98,0.84,36.92,36.32000000000001,43.21999999999999,36.32000000000001
13922,8865abd16a2fffeeabf938770a6cbad0,0.50,0.9299999999999999,0.78,28.07,26.07,33.269999999999996,26.07
13923,8f6fba521547ac19dca83fd08fd967d1,0.22,1.01,1.04,19.13,19.36,18.630000000000003,19.36
13924,4f04223f37056b87aefd437c856426a0,0.41,1.06,0.92,85.02,90.22,97.62,90.22
13925,b359d2709f9dc8bff67767d534119158,0.32,1.07,1.11,38.41,41.11,37.13,41.11
13926,03cf1b9ce0395a98c5cfd5a1a44605cc,0.27,1.2,1.0,36.42,43.68,43.78,43.68
13927,196305ac24118251437555f82c24daab,0.08,0.96,0.8200000000000001,6.99,6.69,8.19,6.69
13928,74341791ddc57a7a8ca3c8a5d7eeadfd,0.13,1.02,0.89,17.46,17.86,20.060000000000002,17.86
13930,c85caa9949b5c4310de9e66e6407d26f,1.00,1.01,1.01,17.16,17.36,17.16,17.36
13931,0b26da64008315ee0ccae327f1266461,0.21,0.99,0.99,49.629999999999995,49.03,49.43,49.03
13932,24be97b073fb9e5106169fee46e2cf96,0.20,1.1,0.9299999999999999,21.15,23.250000000000004,24.950000000000003,23.250000000000004
13933,cdf275d25879183d3fd9e0e4eddd8f71,0.50,1.38,1.15,3.99,5.49,4.79,5.49
13934,6d7d4f3ca946467662110ac81ce0fa18,0.30,1.15,1.02,10.97,12.670000000000002,12.370000000000001,12.670000000000002
13935,c2a4882ca149148baef0f4a5d622e9f3,0.36,0.97,1.0,21.86,21.260000000000005,21.160000000000004,21.260000000000005
13936,aa444db12c460576e1a53c286072d3fe,0.14,1.04,0.99,6.680000000000001,6.98,7.08,6.98
13937,47b5cc07918a3728f0a70dc69d24e5a3,0.13,0.95,0.95,11.58,10.98,11.58,10.98
13938,b52ffd6e2aaf0e42292c0bd4330c15de,0.24,0.94,0.94,21.17,19.92,21.16,19.92
13939,6b9b53230c4ebf8c387341171f6abb91,0.13,0.94,1.02,56.980000000000004,53.78,52.980000000000004,53.78
13940,260073fab2d313401bb6052743ba4049,0.17,0.96,0.81,13.69,13.19,16.19,13.19
13941,480b414358334694f08ddb00d2dd6438,0.17,1.0,1.0,2.98,2.98,2.98,2.98
13942,35b2816915831d68467437887d41f940,0.23,0.97,1.1400000000000001,69.69,67.79,59.69000000000001,67.79
13943,66a9d0c726c502bc6a501737762c96f5,0.29,0.89,0.97,7.880000000000001,6.9799999999999995,7.18,6.9799999999999995
13944,2aabfc9352a572a8a02a6b02295896f7,0.50,1.17,1.04,68.74000000000001,80.24,76.94,80.24
13945,3fde4f85406c8ff4228355438a811ebd,0.41,1.02,1.0,29.77,30.310000000000002,30.19,30.310000000000002
13946,5cc3aeac06712ec38405adb52e80a29e,0.36,1.01,0.89,43.95,44.25,49.65,44.25
13947,7417661cd8382b3ed9ff1ccd270181d0,0.50,0.95,0.8,20.38,19.380000000000003,24.18,19.380000000000003
13948,e1528eb5b768c738523be959fedbd9cd,0.38,1.01,0.87,83.78999999999999,84.64000000000001,96.83999999999999,84.64000000000001
13949,96fd838ed9656494af86eed81839274e,0.20,1.11,0.9,22.65,25.25,27.95,25.25
13950,699a60af87f92a1763f79859a6e60277,0.20,1.1,0.89,11.280000000000001,12.379999999999999,13.88,12.379999999999999
13951,0923a171eb797e2e51c01265065c1d28,0.38,1.0,0.85,54.0,53.800000000000004,63.60000000000001,53.800000000000004
13953,ab2fb479c46828ac8f979f2b6e4c5311,0.32,1.04,0.84,20.65,21.440000000000005,25.439999999999998,21.440000000000005
13954,a63e27eadf89c4955197e836f77ed399,0.26,1.05,0.87,80.42,84.07000000000001,97.07000000000001,84.07000000000001
13955,111a32ebde4c6f5b5165ed25bc63704a,0.14,0.8200000000000001,0.8200000000000001,29.99,24.49,29.99,24.49
13956,cde17a1629f1fd57ee138ade43d9ec9c,0.28,1.0,0.86,22.05,22.150000000000002,25.85,22.150000000000002
13957,68691f38f605456c6ee4bdca850dccf0,0.06,1.34,1.08,8.33,11.14,10.34,11.14
13959,de3285d9d8a825b476adc299fd079a48,0.75,1.03,1.09,61.74000000000001,63.58000000000001,58.31,63.58000000000001
13960,a14acbb0991ab69de8febea61b57c685,0.21,1.07,0.86,8.79,9.370000000000001,10.870000000000001,9.370000000000001
13961,194a3331ab2cf444a390f14d955b6956,0.26,0.95,0.99,77.95,73.85,74.33,73.85
13962,c1934d994ae4caad9693bd95e1ada143,0.24,1.05,0.92,12.36,12.96,14.059999999999999,12.96
13963,ee9396b0a1a8676391eba65db3a3e00c,0.21,1.0,1.05,54.760000000000005,54.96,52.410000000000004,54.96
13964,0747476a2df3361740b16f5287cc311c,0.27,0.88,0.75,14.18,12.540000000000001,16.64,12.540000000000001
13965,79162194d03bdc8f1a36a7a0f41ad2e0,0.21,1.1,0.9299999999999999,12.26,13.459999999999999,14.46,13.459999999999999
13966,70cc24e5ce63ea161a55741d3236e822,0.10,1.03,0.84,6.1899999999999995,6.380000000000001,7.58,6.380000000000001
13967,1b3fceb94569b96e6965bbc329192a53,0.44,0.96,0.8,59.43,57.13,71.43,57.13
13968,b20fda74ff35ff82f0d2682468a90d5d,0.42,1.05,1.27,109.75,115.46000000000001,91.11000000000001,115.46000000000001
13969,f7c8f43102d81099e7b24fd45251ebd6,0.22,0.97,1.1,68.88999999999999,66.94000000000001,61.06000000000002,66.94000000000001
13970,669a26149bf6265cf45e126fc0caf0ad,0.36,0.99,0.88,37.300000000000004,36.900000000000006,41.83,36.900000000000006
13972,68b59d7666199e7d7db7b16744b3c928,0.06,0.84,0.69,5.69,4.79,6.99,4.79
13973,57b4cfdafb94356f8b6da6209ed7a52b,0.50,1.0,0.8200000000000001,14.32,14.32,17.52,14.32
13974,a52c84d02bf06980963cdab0f8c0b6ad,0.29,0.94,0.99,7.78,7.28,7.38,7.28
13975,4725fb2794ecba1f01f4298d881f8fdb,0.23,1.01,0.81,6.98,7.07,8.77,7.07
13977,7004b7056b1fc13b788758864f8349e6,0.23,0.99,0.95,29.830000000000002,29.630000000000003,31.130000000000003,29.630000000000003
13979,dc8889553a9693f01c9b150483cd9c5b,0.05,0.91,0.77,10.98,9.98,12.98,9.98
13980,d38b9ab03b07d58401528c087272f7db,0.36,1.02,0.87,84.0,85.7,98.19999999999999,85.7
13981,758dcfed55387180f28504c6db919cbd,0.25,0.87,0.7,8.98,7.78,11.18,7.78
13982,c2e8dfd7f31ce726e582b5648386acf1,0.50,0.97,0.81,59.96,57.96,71.46000000000001,57.96
13984,7bca27715ec5c6ea60a34018d60fa055,0.33,0.99,0.9,43.62,43.120000000000005,48.120000000000005,43.120000000000005
13985,dd0d84d137983c860cf24099dbfe80e3,0.25,0.97,1.22,43.97,42.77,34.93,42.77
13986,18fe7f16029ed126b67d8132c2e4df7b,0.33,1.0,1.0,15.719999999999999,15.66,15.719999999999999,15.66
13987,77e14ed32159fc9efd67f93aa4ef5f7b,0.42,0.99,0.94,18.95,18.75,19.85,18.75
13989,b35cbe566d320362de613cce273a13c9,0.22,0.97,0.85,22.57,21.97,25.87,21.97
13990,784c2c370c35ba32c43dd827ae5d20e6,0.75,0.97,0.97,23.67,22.97,23.570000000000004,22.97
13991,5fcf49a82365d951ac42a8e8eb158361,0.33,1.03,1.07,41.76,42.86,40.24,42.86
13993,0833e21544ffb1ac3db8f296d4e8b67c,0.23,1.0,0.84,24.44,24.439999999999998,28.939999999999998,24.439999999999998
13994,6bbce60fadc708862e33df17c029969a,0.63,1.03,0.95,26.24,27.14,28.44,27.14
13995,93c67914b459420afa1ee3ac523578a4,0.40,0.91,0.75,21.67,19.67,26.27,19.67
13996,3997fc47f02832622bc3fb0fd3e9812e,0.22,0.85,0.74,91.94,77.94,105.74,77.94
13997,5c000c0f553a02a83ec60bed461792f4,0.23,1.02,1.03,45.72,46.72,45.19,46.72
13998,f3a536f69e3b203e69b6a9883aea558d,0.22,1.03,0.92,11.870000000000001,12.17,13.270000000000001,12.17
13999,7ac4040bf208f48e6ab42ce548fd6a34,0.27,1.0,1.05,42.1,42.0,40.0,42.0
14000,0baabc140356409149c30491b49373c1,0.08,1.07,0.9,7.29,7.79,8.69,7.79
14001,78c9174063e437ab3b6eb8fd2c3f2083,0.46,0.98,1.05,13.04,12.840000000000002,12.25,12.840000000000002
14002,63c6cbeefbb9f16ca9790c75674dc614,0.18,0.97,0.83,10.49,10.17,12.27,10.17
14004,0bb8429234300f6390e00e109912f159,0.31,1.04,0.91,22.950000000000003,23.85,26.35,23.85
14005,959772448e86b49b47bfc88a49c0bc67,0.43,0.98,1.05,204.81000000000003,200.85,191.74,200.85
14006,5da7920b7a32b649aa6b911289edd5a4,0.18,0.98,1.15,32.4,31.700000000000003,27.6,31.700000000000003
14007,cb1b05b8ad7f2163959523e86f501bfe,0.05,1.31,1.09,17.34,22.740000000000002,20.94,22.740000000000002
14008,528290aa8e28b4ec419a6acec0c80aed,0.27,0.95,1.07,16.07,15.27,14.27,15.27
14009,ac016f1d98398f4c525a81c35f08e554,0.29,1.12,1.12,11.58,12.98,11.58,12.98
