,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
27846,d1386c32f0784576a927fe1df56982fc,0.40,0.98,0.86,74.78,72.93,85.23,72.93
27847,fc263a235b51ca39a7052c9f10074b94,0.31,0.97,0.84,117.03000000000002,112.97000000000003,135.07,112.97000000000003
27848,ac590432b06819dc6b1f894bf3150946,0.40,0.75,0.75,22.08,16.58,22.08,16.58
27849,e36b264047d5335a66afc9b39c5755d9,0.29,1.0,0.86,74.89,75.18,86.98,75.18
27850,a850cca8bd635ecbf1ed81734a4c91d7,0.08,0.9299999999999999,0.79,4.49,4.19,5.29,4.19
27851,6c791b3ceff3514bf271fb622d3f95b2,0.16,1.12,1.01,7.57,8.47,8.370000000000001,8.47
27852,8fbcb011a72bfcf7ed17958fa594e9ee,0.07,0.87,0.87,7.45,6.45,7.45,6.45
27853,956117283ada7e2e130c5e87f6dfd5a4,0.19,0.98,0.83,18.66,18.26,21.96,18.26
27854,b46f3a5788b6338e725749dec982eca0,0.16,1.05,0.91,17.15,18.05,19.75,18.05
27855,bed8fd52aae77e4d25226006e13123dd,0.21,1.0,0.85,14.170000000000002,14.24,16.74,14.24
27856,6899b87ba6273ca7d477bad2ebb26b2a,0.13,1.03,1.09,17.13,17.63,16.13,17.63
27857,deca64b32e9618e107a029a4c863c9cd,0.15,1.03,0.87,26.75,27.450000000000003,31.450000000000003,27.450000000000003
27858,a70bf2af52688589b0caac2c8773454d,0.17,1.0,1.19,3.58,3.58,3.0,3.58
27859,56edba0e3371efdc0b35ce6ae5dd8653,0.05,1.13,0.9299999999999999,4.58,5.18,5.58,5.18
27860,4e02f2c5b0b3cf44576afd7def8b0e4d,0.11,0.94,0.94,37.66,35.56,37.66,35.56
27863,5b739193ef55ecc9cb3d283ba3df37d5,0.29,0.94,0.94,15.67,14.77,15.67,14.77
27864,ecd4575994c9e7085813b60067d3d55f,0.28,0.96,0.81,50.01,47.81,59.21,47.81
27865,dd9f113701c7494db4b83965947ba7a4,0.50,1.01,0.85,18.08,18.18,21.38,18.18
27866,7c75b03b1cdf0581b3cf0ace83677e5f,0.60,1.02,0.95,18.97,19.369999999999997,20.369999999999997,19.369999999999997
27867,c6a2a2a5ee196991efa0c1245a9f3bce,0.14,1.09,0.95,8.77,9.57,10.07,9.57
27868,c375898563f3586fb1a66fd3bb2daedf,0.25,0.91,0.8,10.58,9.58,11.98,9.58
27869,a5f3c3dcf836dbd3f458616c2e5e1666,0.50,0.99,0.88,56.78,55.98,63.58,55.98
27870,0f2ef5b907206643c87b20af94d53030,0.50,0.97,1.01,13.57,13.170000000000002,13.07,13.170000000000002
27871,45d985cbac61b6ae3913cc61442af80c,0.18,0.95,0.8,25.96,24.56,30.86,24.56
27872,bb8fc07929c8c10c39fab6634aaa7d47,0.25,1.21,1.01,28.860000000000003,34.78,34.480000000000004,34.78
27873,b54045df094b764f4cd955a01f6adc5e,0.21,0.99,0.88,54.25,53.709999999999994,61.05,53.709999999999994
27875,a2dca25eb10e72726763fbf6b9890e47,0.09,1.25,1.06,3.04,3.79,3.59,3.79
27876,52da2cf6d5e38f85d342006d8c1b51c1,0.03,0.95,0.95,4.19,3.99,4.19,3.99
27877,ac29afda774274f022d607df49b09d50,0.24,0.98,1.03,78.7,76.79,74.3,76.79
27878,36b4cbb681f19600ab2f45dbed5e54dc,0.38,1.1,0.9299999999999999,32.04,35.2,37.699999999999996,35.2
27879,8d7a5ee4c75ee655688e7bdb492c2b70,0.33,0.97,0.83,60.52,58.620000000000005,71.02,58.620000000000005
27880,cb417c6766095e843808e6e9c45794bb,0.44,0.95,0.81,58.59,55.690000000000005,68.89,55.690000000000005
27881,e4f2100402f7706782e3e0f35e90d541,0.37,1.0,0.89,73.71000000000001,74.01,82.81,74.01
27884,14decb812aee355a415aea98447bd3ff,0.24,0.98,0.87,78.47999999999999,77.08,88.77000000000001,77.08
27885,bd0f375576b9f5577f0e6054219c0221,0.22,0.95,1.1,38.23,36.37,32.919999999999995,36.37
27886,6e4e69e8e9fdc2b9427acf4d79079ebe,0.25,0.92,0.78,53.1,48.8,62.8,48.8
27887,1d63c7cdc2b28a789cb562b6aad4fedc,0.14,1.0,0.87,42.36,42.559999999999995,48.959999999999994,42.559999999999995
27888,8bb376c1ae53e2cdb0aea81704e1b3fa,0.20,1.03,0.95,3.59,3.69,3.89,3.69
27889,d9834560b08decbd8fa5eafc47ed32dd,0.05,1.0,0.83,2.99,2.99,3.59,2.99
27890,7ec3fe68c9e1c2009460ca1fbcdc77bc,0.31,1.05,1.01,63.52,66.48,65.67999999999999,66.48
27892,b63ec54b6abbee0b6dd6d972b926b121,0.26,0.92,0.77,99.67,91.49000000000001,118.09,91.49000000000001
27893,5413b846d988f483c925f64a004502c1,0.29,1.04,0.89,22.650000000000002,23.45,26.25,23.45
27894,c0cadff552438a45e1aacec7f8dd06a4,0.32,1.04,0.88,32.32,33.720000000000006,38.22,33.720000000000006
27895,12fa3fd48433a4c0395acfa167f1ce19,0.27,1.1400000000000001,0.97,10.08,11.46,11.86,11.46
