,STORE_LOCATION_ID,NUM_ORDERS
0,7dc1c7653ac42a05642a667959c12239,17
1,7735e310a8f8a4de2430338dfae18359,3
2,a486cd07e4ac3d270571622f4f316ec5,26
3,c846afeb972dd0fcad60f3f6194ec0ae,1
4,cb8da6767461f2812ae4290eac7cbc42,48
5,6c0ffea2dc26e3e5f85302514be3c697,3
6,a381c2c35c9157f6b67fd07d5a200ae1,19
7,462b7359bda3d8ed2873c091c2f3b367,4
8,2aac3124e77bcbfd5d0033a31ada2f55,1
9,c1aa31664c1569818b0494c32981bc4f,1
10,bc9896c35a1d00719db5cfcbeec66f5b,1
11,7c103ddc7fa98bc2687b3902ad4f2710,2
12,2a34abd6ebbd7fcf5a4421229c946c0a,46
13,7fc7b7979ce9c02bb7a36e5500726053,1
14,936a40b7e8eea0dc537e5f2edee1387a,16
15,95814964b0c42ce64d51e38d917d7fd3,1
16,fd22a77ffd3cc179b3c1407d6ea0637b,1
17,44e2a386042be6deb6463a2f2b18fe73,2
18,62509b585210b8dd3e871ca3c23f186b,1
19,9d9c43178f8d0646e8676e053075b108,1
20,cd2d9ff70c5361ea752e858d7bbf8437,4
21,cb1f1e892b2602ef829df6f10ecd7a9f,1
22,eedda0a7cb52e7cd354600ccef0c799b,1
23,a9c154c4658d7fc48fd2be3ef34d9109,1
24,e7e4f740f97a38c313a9abc2ec6ab85e,2
25,15cf5f505ec38de721bfc1036ae585aa,1
26,74db80486179f9e43bed14f2d28c70a8,2
27,1e8c391abfde9abea82d75a2d60278d4,26
28,9f44e956e3a2b7b5598c625fcc802c36,16
29,63aeb41b7837b24999c7766adda70a24,4
30,28e5d9958f5359e46ea056ecb6684485,3
31,40e058330f014c529b23bcb157f7da4a,2
32,24917db15c4e37e421866448c9ab23d8,22
33,e44956a0a9118d2bfe39f3483f57db37,1
34,d7d91226861bc31d29561cd255dd9520,1
35,da3c55e3be0a795729261bfd8776a627,1
36,350db081a661525235354dd3e19b8c05,34
37,baa18c475f66f4323c0bf909aca05a35,8
38,455b3cee95ff9200035018456ef17edc,4
39,ad1b74292d67078dfb12d20eeca2566e,1
40,0406576f71bdf8cdb29942cd5c1548c7,1
41,771f0d31d334435279ea1ea02b2c660c,2
42,946d0a5d15b2453834ed5400b57c89c9,2
43,bb63947c75d49061c743a2ae53cc1787,1
44,fe4e2a8a9740bc9311616fc08781fcf9,2
45,2a519dc383bbb4f07ad74720bb1a5fbf,1
46,71541653edfd81ee0ae62fb1fd1be011,2
47,f3d40945077a8cb357098311250d4213,1
48,b83210dd590047ee38c4660f1f6060e5,5
49,49de010bfd34f149fc319dd839707a36,1
50,c182f930a06317057d31c73bb2fedd4f,30
51,db2d1bc7f17a3a44b4f1cb9075f6899c,1
52,b0b69b8461334c26e055962b31af6c16,1
53,988969200cb769535c9ff0ce49e36719,1
54,a74e88cfc53686ce828fb037d0f2041e,3
55,5881fccfa15a85aaf86e7a196f12f5ad,2
56,0bfda19bd8d869e39d1996f29b9c6133,2
57,e6483ae9e85b801c582ca117ecd16eb6,1
58,3550bb0cfdaea287c6d57c41df1fa1b4,1
59,2bee829bed9516889344bb4a675d7e38,2
60,c93f6bc00902863602e25adcda3b1565,6
61,314426bd564599865c676dbb6dc198c4,1
62,0190fadb841d7ed83e29cca2a745bc2f,1
