,STORE_LOCATION_ID,NUM_ORDERS
0,7dc1c7653ac42a05642a667959c12239,13
1,6b913a2317d00f7bfa0abdaff1a1f67f,4
2,9c8f9728c5c3be5ef64f32ed3d49f02e,3
3,a486cd07e4ac3d270571622f4f316ec5,35
4,410a05199753ec14a12bfed92c13e07d,1
5,c846afeb972dd0fcad60f3f6194ec0ae,3
6,cb8da6767461f2812ae4290eac7cbc42,72
7,af074edfb4940be0ed1d4fcfc4ea0dee,1
8,c14a8df1e1b4d5297e9cb30cb34d5a00,1
9,6e99ed46f817de00fa66a0650286d735,3
10,6c0ffea2dc26e3e5f85302514be3c697,3
11,a381c2c35c9157f6b67fd07d5a200ae1,38
12,462b7359bda3d8ed2873c091c2f3b367,6
13,c1aa31664c1569818b0494c32981bc4f,3
14,bc9896c35a1d00719db5cfcbeec66f5b,2
15,c37cbf19d78d3acb12fa054c276183dd,1
16,7c103ddc7fa98bc2687b3902ad4f2710,2
17,2a34abd6ebbd7fcf5a4421229c946c0a,53
18,936a40b7e8eea0dc537e5f2edee1387a,30
19,2ddd93f42feeba056d189ad5a84f1793,1
20,95814964b0c42ce64d51e38d917d7fd3,1
21,fd22a77ffd3cc179b3c1407d6ea0637b,1
22,44e2a386042be6deb6463a2f2b18fe73,1
23,cd2d9ff70c5361ea752e858d7bbf8437,5
24,eedda0a7cb52e7cd354600ccef0c799b,2
25,bb4ea12f999f3e1c0df45ab2983be5df,1
26,d72250f6161cc82e0327ee56b2c3d974,1
27,15cf5f505ec38de721bfc1036ae585aa,1
28,e7e4f740f97a38c313a9abc2ec6ab85e,4
29,74db80486179f9e43bed14f2d28c70a8,2
30,1e8c391abfde9abea82d75a2d60278d4,29
31,9f44e956e3a2b7b5598c625fcc802c36,17
32,976f1ecb676aa1bb3bb86ed84e79cdfa,1
33,63aeb41b7837b24999c7766adda70a24,4
34,28e5d9958f5359e46ea056ecb6684485,4
35,40e058330f014c529b23bcb157f7da4a,1
36,45b9286d3c43405ceea31f47c09a2006,1
37,24917db15c4e37e421866448c9ab23d8,38
38,d7d91226861bc31d29561cd255dd9520,3
39,da3c55e3be0a795729261bfd8776a627,1
40,350db081a661525235354dd3e19b8c05,44
41,455b3cee95ff9200035018456ef17edc,7
42,ad1b74292d67078dfb12d20eeca2566e,1
43,0406576f71bdf8cdb29942cd5c1548c7,3
44,baa18c475f66f4323c0bf909aca05a35,2
45,ec390e445f99f5d8c57a847f02552fbc,2
46,771f0d31d334435279ea1ea02b2c660c,3
47,6dedfb95234a86cd2c7ba10af6b06a6e,1
48,7c6fdd4c7dc4f4d7bbd1f7361b32ab4b,1
49,bb63947c75d49061c743a2ae53cc1787,3
50,fe4e2a8a9740bc9311616fc08781fcf9,2
51,2a519dc383bbb4f07ad74720bb1a5fbf,4
52,71541653edfd81ee0ae62fb1fd1be011,4
53,b83210dd590047ee38c4660f1f6060e5,4
54,c182f930a06317057d31c73bb2fedd4f,52
55,cfc69414187bd8ade5c17c797a107525,1
56,db2d1bc7f17a3a44b4f1cb9075f6899c,2
57,184c31bbacd0d31253965ebe448448f2,1
58,988969200cb769535c9ff0ce49e36719,2
59,a74e88cfc53686ce828fb037d0f2041e,8
60,5881fccfa15a85aaf86e7a196f12f5ad,2
61,0bfda19bd8d869e39d1996f29b9c6133,1
62,e6483ae9e85b801c582ca117ecd16eb6,1
63,565930aa1d09ef2af5dd17eedf2edfa4,3
64,309d36bfe0e77374deeb836355f8db23,3
65,2bee829bed9516889344bb4a675d7e38,1
66,3550bb0cfdaea287c6d57c41df1fa1b4,1
67,0190fadb841d7ed83e29cca2a745bc2f,3
68,c93f6bc00902863602e25adcda3b1565,4
