,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
42041,921efcf10d1e7abde37ae2a1ba1ccc1c,0.22,0.98,0.87,20.35,19.950000000000003,22.950000000000003,19.950000000000003
42042,5cf6bc2ef1e0bea2fcfc59b6c529abf7,0.44,0.99,0.83,14.86,14.660000000000002,17.560000000000002,14.660000000000002
42043,077e2c669aedfac51c48898435a67533,0.33,1.0,0.87,20.99,20.99,24.14,20.99
42044,2c7dc12949e710dcf36d85a6883be01a,0.26,0.98,0.86,42.58,41.88,48.78,41.88
42045,bc9526706c55bbb18a3d6fe3a818d392,0.44,1.1,0.97,66.52,73.01,75.32000000000001,73.01
42047,f1201437c08da9ddaecd81c1cc4f5ff6,0.25,0.9,1.03,24.05,21.650000000000002,20.950000000000003,21.650000000000002
42048,de329734c374b100e9fa9b904f4c2450,0.33,1.04,0.91,77.72000000000001,81.02000000000001,88.72,81.02000000000001
42049,3997fc47f02832622bc3fb0fd3e9812e,0.67,0.91,0.79,261.82,237.82000000000002,301.12,237.82000000000002
42050,d1a8f58300060f4386f7484613439e99,0.13,0.91,0.77,10.07,9.17,11.870000000000001,9.17
42051,a880a3110fa0196b0870b4b09fc3bca9,0.39,0.99,0.84,77.54,77.0,91.9,77.0
42052,5b3924c562af6716523b40fdab2dbda8,0.28,1.05,0.89,48.53,50.870000000000005,57.27,50.870000000000005
42053,64b9c6349fa673979b948fbd23932889,0.43,1.02,1.13,65.74,67.28000000000002,59.49,67.28000000000002
42054,69aeabd2d464132662420a5be4c96a3b,0.50,1.0,0.85,104.19,104.19,123.08,104.19
42055,e638339d11c795f87bb5e43684a9ea6c,0.47,0.96,0.8200000000000001,124.03,118.56999999999998,144.87,118.56999999999998
42056,35a9eb676ddbe6c40b8c00fe3c3faf6a,0.11,0.87,0.73,3.45,2.99,4.09,2.99
42058,70d7dc6355eb1b342d0d12f437daec9b,0.07,0.94,0.79,6.38,5.98,7.58,5.98
42060,b25b606e864019fbd0e41d479d158300,0.27,1.35,1.16,15.670000000000002,21.15,18.25,21.15
42061,217c95d6ba1743104fc8440d7fb7ab90,0.12,0.97,1.12,54.32,52.62,46.94,52.62
42062,01e6df78a8887401a87ad1b08af4cdda,0.33,0.94,0.8200000000000001,6.970000000000001,6.57,7.97,6.57
42063,3862a66604afeca201ea13ff5a35a51a,0.22,0.98,0.99,138.04999999999998,135.65,136.64999999999998,135.65
42064,f31ebb5d9a4eb503268dbb35f4ad18c5,0.11,0.98,0.98,17.97,17.57,17.97,17.57
42065,1d256b0c0ad364f53f30fc3d9f7391c6,0.30,1.03,0.87,33.33,34.25,39.35,34.25
42066,0cd77c6b90a2f416ffe07aad0f6f115b,0.69,0.91,0.77,46.92,42.910000000000004,55.61000000000001,42.910000000000004
42067,b4343c5d799094cbd3a53e53e88e46ea,1.00,1.02,1.02,43.98,44.98,43.98,44.98
42068,5bdfcfc7814c365d52e935942678a6be,0.67,1.09,0.91,29.330000000000002,32.07,35.07,32.07
42069,a8c752d828292a1782573f376ac52061,0.36,0.97,0.83,71.35000000000001,69.30000000000001,84.0,69.30000000000001
42071,6952c6e8f421069a1bd684bd5aac2a9f,0.53,1.0,1.1,140.46999999999997,140.25,127.97,140.25
42072,b4fd64da35aafba72cf7d7834cf9105b,0.37,0.97,0.8200000000000001,50.43000000000001,48.82,59.620000000000005,48.82
42074,2524fd75510782cb1f569d3ca4248a96,0.40,1.01,0.85,49.400000000000006,50.0,58.5,50.0
42075,8159420d3c98efec09317cfd249c9122,0.57,1.0,0.84,21.15,21.150000000000002,25.05,21.150000000000002
42076,e36e2bc5c400608bbafe895b7c5e676e,0.40,0.91,0.77,48.480000000000004,43.88,57.28,43.88
42077,83495493a19f11c0b40c6e9064290def,0.44,1.1,0.9299999999999999,65.97,72.67,77.77,72.67
42079,f3e0025b52c6515856bf9346db2d8dd4,0.23,0.98,0.9,25.799999999999997,25.34,28.0,25.34
42080,b5ef68c6338066e7f86242f356256fef,0.25,0.96,0.85,14.170000000000002,13.670000000000002,16.17,13.670000000000002
42081,5aa3c47d054faf2ccb098c585ab6f9e0,0.27,1.04,0.86,8.47,8.77,10.17,8.77
42082,3f060549202446d019e5a78e73d3a571,0.41,0.9299999999999999,0.89,21.92,20.480000000000004,23.020000000000003,20.480000000000004
42083,28467790edba35653dc897424f3ff641,0.11,1.38,1.1400000000000001,2.89,3.99,3.49,3.99
42084,53dd1b6d62af9761ead905c1794316c5,0.50,1.01,0.86,40.78,41.26,48.06,41.26
42086,a2af30f34d519b469d8175aaa9721a48,0.14,1.05,1.05,25.96,27.16,25.96,27.16
42087,6991805d6da9fc9e3746ff6a08bc5e16,0.25,1.0,1.13,30.619999999999997,30.72,27.22,30.72
42089,a33c1e5263a8deb4d2887b8c72d48299,0.29,0.9,1.03,13.209999999999999,11.85,11.51,11.85
42093,5f83a2a76be32ba012af68f2acd5df55,0.33,0.96,0.8200000000000001,28.97,27.770000000000003,34.07,27.770000000000003
42094,160b4b489fee2ab84b6278e242bf01b7,0.25,0.99,0.84,48.34,48.06,57.14,48.06
42095,7e0e2ea62472c6b25189e96d29f73808,0.17,0.6599999999999999,0.6599999999999999,1.16,0.76,1.16,0.76
42096,234c36eb8cc6bdd2fb0c78cf9b1da763,0.39,0.97,1.01,37.16,36.2,35.760000000000005,36.2
42098,07d90cd1a250575d76c2799348bf9aba,0.25,1.03,1.13,31.35,32.25,28.550000000000004,32.25
42099,51565942b9351cef3d06993aea40c858,0.09,0.94,0.94,3.49,3.29,3.49,3.29
42100,818337ef798ca022e28fd4b89c4b945b,0.21,1.01,1.11,42.03,42.53,38.43,42.53
