,ORDER_DAY,NUM_ORDERS,COMPARABLE_TOTAL_COST,PARENT_TOTAL_COST_
154,2022-06-03,473,14896.709999999997,14820.54
155,2022-06-04,464,14830.63,14631.12
156,2022-06-05,589,16979.38,16754.57
157,2022-06-06,440,13834.96,13622.250000000005
158,2022-06-07,456,14489.079999999996,14236.69
159,2022-06-08,457,13093.780000000002,13016.099999999999
160,2022-06-09,407,12085.97,11936.369999999997
161,2022-06-10,369,12415.78,12341.49
162,2022-06-11,438,13324.220000000001,13145.539999999999
163,2022-06-12,591,18167.659999999996,17925.179999999997
164,2022-06-13,469,14661.562499999996,14447.032500000001
165,2022-06-14,453,14050.764700000002,13802.946699999995
166,2022-06-15,464,14546.65,14316.870000000004
167,2022-06-16,461,13369.33,13195.479999999996
168,2022-06-17,497,15881.049999999997,15639.319999999998
169,2022-06-18,464,12927.649999999998,12815.070000000002
170,2022-06-19,509,14264.918699999997,14103.9107
171,2022-06-20,417,12932.200000000004,12836.66
172,2022-06-21,406,12271.109999999999,12261.71
173,2022-06-22,401,12505.669999999998,12351.929999999998
174,2022-06-23,440,12908.11,12762.53
175,2022-06-24,448,13565.270000000002,13397.879999999996
176,2022-06-25,422,12170.890000000001,12060.99
177,2022-06-26,587,19661.350000000002,19668.62
178,2022-06-27,429,14592.699999999999,14409.7
179,2022-06-28,440,13532.54,13452.789999999999
180,2022-06-29,457,14399.600000000004,14357.39
181,2022-06-30,460,14529.509999999998,14429.810000000003
182,2022-07-01,550,17094.890000000003,17151.360000000004
183,2022-07-02,486,14349.25,14450.679999999998
184,2022-07-03,432,12682.51,12520.699999999999
185,2022-07-04,403,11029.720000000001,10963.369999999999
186,2022-07-05,433,13187.140000000001,13151.950000000003
187,2022-07-06,421,12634.32,12559.31
188,2022-07-07,447,12836.880000000001,12767.770000000004
189,2022-07-08,496,16480.0,16390.589999999997
190,2022-07-09,452,13097.240000000002,12991.080000000002
191,2022-07-10,515,16820.379999999997,16493.52
192,2022-07-11,425,13109.03,12973.169999999998
193,2022-07-12,414,11955.661599999998,11885.447599999998
194,2022-07-13,391,10686.01,10604.25
195,2022-07-14,395,11364.849999999999,11153.930000000002
196,2022-07-15,446,15420.990000000003,15122.89
197,2022-07-16,435,13516.460000000005,13377.710000000001
198,2022-07-17,595,19725.599999999995,19490.990000000005
199,2022-07-18,465,14292.07,14113.260000000002
200,2022-07-19,388,11461.89,11270.140000000001
201,2022-07-20,407,12117.09,12006.49
202,2022-07-21,422,13083.71,12840.130000000001
203,2022-07-22,449,13598.920000000002,13353.05
204,2022-07-23,432,13777.939999999999,13594.599999999997
205,2022-07-24,527,16419.269999999997,16210.359999999997
206,2022-07-25,428,12635.19,12428.200000000004
207,2022-07-26,446,14023.85,13791.310000000003
208,2022-07-27,402,11038.340000000002,10879.700000000004
209,2022-07-28,424,14455.699999999995,14270.710000000001
210,2022-07-29,485,15685.670000000002,15458.989999999998
211,2022-07-30,430,12680.640000000003,12514.260000000006
212,2022-07-31,559,18528.579999999994,18281.090000000004
213,2022-08-01,496,16135.410000000002,15950.659999999996
214,2022-08-02,413,11940.8,11719.600000000002
215,2022-08-03,393,11577.362499999997,11365.2425
216,2022-08-04,445,12335.76,12181.630000000001
217,2022-08-05,469,14859.449999999999,14602.769999999997
218,2022-08-06,491,14909.560000000001,14640.910000000002
