,parent_cust_pairs,parent_cust_dist,parent_a,cust_b
0,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'd1386c32f0784576a927fe1df56982fc')",3.5875511258651898,4ffbd5c8221d7c147f8363ccdc9a2a37,d1386c32f0784576a927fe1df56982fc
1,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'fc263a235b51ca39a7052c9f10074b94')",16.165653581688602,4ffbd5c8221d7c147f8363ccdc9a2a37,fc263a235b51ca39a7052c9f10074b94
2,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'ac590432b06819dc6b1f894bf3150946')",8.409755074453034,4ffbd5c8221d7c147f8363ccdc9a2a37,ac590432b06819dc6b1f894bf3150946
3,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'e36b264047d5335a66afc9b39c5755d9')",18.9843831689367,4ffbd5c8221d7c147f8363ccdc9a2a37,e36b264047d5335a66afc9b39c5755d9
4,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'a850cca8bd635ecbf1ed81734a4c91d7')",11.597116842194124,4ffbd5c8221d7c147f8363ccdc9a2a37,a850cca8bd635ecbf1ed81734a4c91d7
5,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '6c791b3ceff3514bf271fb622d3f95b2')",7.440987258733727,4ffbd5c8221d7c147f8363ccdc9a2a37,6c791b3ceff3514bf271fb622d3f95b2
6,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '8fbcb011a72bfcf7ed17958fa594e9ee')",17.244050955618558,4ffbd5c8221d7c147f8363ccdc9a2a37,8fbcb011a72bfcf7ed17958fa594e9ee
7,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '956117283ada7e2e130c5e87f6dfd5a4')",9.513397120355243,4ffbd5c8221d7c147f8363ccdc9a2a37,956117283ada7e2e130c5e87f6dfd5a4
8,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'b46f3a5788b6338e725749dec982eca0')",8.806952480662263,4ffbd5c8221d7c147f8363ccdc9a2a37,b46f3a5788b6338e725749dec982eca0
9,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'bed8fd52aae77e4d25226006e13123dd')",38.06205919188956,4ffbd5c8221d7c147f8363ccdc9a2a37,bed8fd52aae77e4d25226006e13123dd
10,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '6899b87ba6273ca7d477bad2ebb26b2a')",18.863754814352404,4ffbd5c8221d7c147f8363ccdc9a2a37,6899b87ba6273ca7d477bad2ebb26b2a
11,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'deca64b32e9618e107a029a4c863c9cd')",17.097206708308946,4ffbd5c8221d7c147f8363ccdc9a2a37,deca64b32e9618e107a029a4c863c9cd
12,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'a70bf2af52688589b0caac2c8773454d')",10.377012167911037,4ffbd5c8221d7c147f8363ccdc9a2a37,a70bf2af52688589b0caac2c8773454d
13,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '56edba0e3371efdc0b35ce6ae5dd8653')",33.11994460742328,4ffbd5c8221d7c147f8363ccdc9a2a37,56edba0e3371efdc0b35ce6ae5dd8653
14,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '4e02f2c5b0b3cf44576afd7def8b0e4d')",13.50150122392194,4ffbd5c8221d7c147f8363ccdc9a2a37,4e02f2c5b0b3cf44576afd7def8b0e4d
